商品,订单号,订单状态,商品总价(元),店铺优惠折扣(元),平台优惠折扣(元),用户实付金额(元),商家实收金额(元),商品数量(件),发货时间,确认收货时间,商品id,商品规格,样式ID,商家备注,售后状态,快递单号,快递公司,订单成交时间,是否分期,分期期数,手续费承担方,手续费率
2021新款胖子夏季男装大码打底衫国潮嘻哈中国风五分袖上衣男印花,210411-012234261742742,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,221069532188	,"G23白+G28白,6XL 建议240-270斤",798235364641	,	,无售后或售后取消,	,	,2021-04-11 23:43:18,否,	,	,	
加肥加大码印花束脚裤子2021新款男士潮流百搭休闲运动卫裤男学生,210411-315135099952090,待发货,35.9	,0.0	,0.0	,35.9	,35.9	,1	,	,	,223754188114	,"B68黑,8XL 建议310-350斤",804756794602	,	,无售后或售后取消,	,	,2021-04-11 23:42:23,否,	,	,	
2021新款胖子夏季男装大码打底衫国潮嘻哈中国风五分袖上衣男印花,210411-406778020940291,待发货,26.8	,0.0	,0.0	,26.8	,26.8	,1	,	,	,221069532188	,"G23黑,7XL 建议270-310斤",798236015601	,	,无售后或售后取消,	,	,2021-04-11 23:39:41,否,	,	,	
加肥加大码男装秋冬港风学生宽松卫衣男韩版卡通印花加绒卫衣外套,210411-278859613361709,待发货,53.9	,0.0	,0.0	,53.9	,53.9	,1	,	,	,200383696231	,"【两件装】666深灰色+662灰色,8XL",747155013267	,	,无售后或售后取消,	,	,2021-04-11 23:37:24,否,	,	,	
加肥加大码印花束脚裤子2021新款男士潮流百搭休闲运动卫裤男学生,210411-642459894770573,待发货,35.9	,0.0	,0.0	,35.9	,35.9	,1	,	,	,223754188114	,"B68黑,2XL 建议130-150斤",804756794596	,	,无售后或售后取消,	,	,2021-04-11 23:37:06,否,	,	,	
2021新款胖子夏季男装大码打底衫国潮嘻哈中国风五分袖上衣男印花,210411-615424984050573,待发货,26.8	,0.0	,0.0	,26.8	,26.8	,1	,	,	,221069532188	,"G23白,2XL 建议130-150斤",798235364581	,	,无售后或售后取消,	,	,2021-04-11 23:36:48,否,	,	,	
夏季加肥加大码男装国潮新款时尚印花潮流学生上衣五分袖透气t恤,210411-430907065330573,待发货,26.8	,0.0	,0.0	,26.8	,26.8	,1	,	,	,219896665455	,"字母W黑,2XL 建议130-150斤",795750293404	,	,无售后或售后取消,	,	,2021-04-11 23:36:42,否,	,	,	
夏季加肥加大码男装国潮新款时尚印花潮流学生上衣五分袖透气t恤,210411-383930860684078,待发货,26.8	,0.0	,0.0	,26.8	,26.8	,1	,	,	,219896665455	,"字母W黑,7XL 建议250-270斤",795750293409	,	,无售后或售后取消,	,	,2021-04-11 23:31:43,否,	,	,	
加肥加大码胖子男装夏季新款潮胖子圆领学生短袖宽松t恤情侣半袖,210411-301368607962564,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,220841614732	,"G34黑+G28黑,8XL 建议310-350斤",797752827898	,	,无售后或售后取消,	,	,2021-04-11 23:29:04,否,	,	,	
2021新款胖子夏季男装大码打底衫国潮嘻哈中国风五分袖上衣男印花,210411-276366623763466,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,221069532188	,"G23黑+G30黑,6XL 建议240-270斤",798235364697	,	,无售后或售后取消,	,	,2021-04-11 23:21:09,否,	,	,	
